timestamp_utc,symbol,interval,signal,trade_direction,open,high,low,close,candle_dir,total_volume,vol_ratio_vs_avg,delta,delta_ratio,poc_price,max_bull_stacked,max_bear_stacked,confluence_score,confluence_stars,follow_through,is_news_candle
2021-12-31 23:01,BTCUSDT,1m,BULL_ABSORPTION,LONG,46370.59,46391.01,46362.0,46391.0,BULL,8.6778,0.173,3.1854,0.3671,46360.0,0,0,0,2,YES,NO
2021-12-31 23:02,BTCUSDT,1m,NONE,—,46391.0,46427.39,46391.0,46422.5,BULL,21.9457,0.438,-0.9611,0.0438,46390.0,0,0,0,1,N/A,NO
2021-12-31 23:03,BTCUSDT,1m,CVD_DIV,SHORT,46422.5,46422.5,46412.68,46413.64,BEAR,5.0896,0.101,-0.9104,0.1789,46415.0,0,0,0,1,NO,NO
2021-12-31 23:04,BTCUSDT,1m,NONE,—,46413.62,46428.08,46412.68,46423.88,BULL,4.5885,0.091,1.7001,0.3705,46415.0,0,0,0,1,N/A,NO
2021-12-31 23:05,BTCUSDT,1m,BULL_ABSORPTION,LONG,46423.88,46428.91,46415.22,46422.23,BEAR,5.4534,0.109,1.8042,0.3308,46415.0,0,0,0,2,NO,NO
2021-12-31 23:06,BTCUSDT,1m,BULL_ABSORPTION,LONG,46426.46,46426.46,46364.49,46412.59,BEAR,40.5468,0.808,-29.3964,0.725,46365.0,0,12,0,3,NO,NO
2021-12-31 23:07,BTCUSDT,1m,BULL_ABSORPTION,LONG,46412.59,46412.6,46395.31,46401.65,BEAR,5.2809,0.105,-0.7503,0.1421,46395.0,0,0,0,1,YES,NO
2021-12-31 23:08,BTCUSDT,1m,BULL_ABSORPTION,LONG,46401.64,46420.0,46363.23,46410.0,BULL,15.0106,0.299,2.5718,0.1713,46365.0,0,0,0,2,YES,NO
2021-12-31 23:09,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46410.0,46450.0,46410.0,46431.3,BULL,10.112,0.202,1.4944,0.1478,46410.0,0,0,0,2,NO,NO
2021-12-31 23:10,BTCUSDT,1m,BULL_ABSORPTION,LONG,46431.3,46448.08,46416.09,46444.05,BULL,12.2148,0.244,6.3972,0.5237,46415.0,6,0,0,2,NO,NO
2021-12-31 23:11,BTCUSDT,1m,BULL_ABSORPTION,LONG,46444.06,46444.9,46392.0,46415.97,BEAR,10.4225,0.208,1.2903,0.1238,46390.0,0,0,0,1,YES,NO
2021-12-31 23:12,BTCUSDT,1m,BULL_ABSORPTION,LONG,46415.96,46435.0,46404.0,46432.35,BULL,5.7504,0.115,0.2628,0.0457,46405.0,0,0,0,1,YES,NO
2021-12-31 23:13,BTCUSDT,1m,NONE,—,46432.35,46464.86,46432.34,46458.45,BULL,9.3457,0.186,1.4917,0.1596,46430.0,0,0,0,1,N/A,NO
2021-12-31 23:14,BTCUSDT,1m,DELTA_DIV,LONG,46456.21,46467.67,46426.72,46430.04,BEAR,8.624,0.172,1.8528,0.2148,46425.0,0,0,0,1,YES,NO
2021-12-31 23:15,BTCUSDT,1m,BEAR_ABSORPTION,SHORT,46429.65,46449.9,46429.65,46435.46,BULL,14.726,0.294,6.0596,0.4115,46430.0,0,0,0,2,YES,NO
2021-12-31 23:16,BTCUSDT,1m,EXHAUSTION_BEAR,LONG,46435.47,46435.51,46406.0,46406.28,BEAR,9.6048,0.191,-1.1304,0.1177,46405.0,0,0,0,1,YES,NO
2021-12-31 23:17,BTCUSDT,1m,CVD_DIV,LONG,46406.0,46467.67,46406.0,46465.44,BULL,18.6756,0.372,7.0476,0.3774,46405.0,0,0,0,1,NO,NO
2021-12-31 23:18,BTCUSDT,1m,BULL_ABSORPTION,LONG,46465.44,46467.64,46446.79,46465.43,BEAR,7.9768,0.159,-0.8616,0.108,46445.0,0,0,0,1,NO,NO
2021-12-31 23:19,BTCUSDT,1m,NONE,—,46465.43,46465.43,46457.41,46457.41,BEAR,5.552,0.111,-0.9692,0.1746,46455.0,0,0,0,1,N/A,NO
2021-12-31 23:20,BTCUSDT,1m,CVD_DIV,LONG,46457.41,46457.42,46417.08,46418.57,BEAR,7.1992,0.144,1.1688,0.1624,46415.0,0,0,0,1,NO,NO
2021-12-31 23:21,BTCUSDT,1m,NONE,—,46418.55,46431.32,46368.0,46373.87,BEAR,13.4394,0.268,-2.7274,0.2029,46370.0,0,0,0,1,N/A,NO
2021-12-31 23:22,BTCUSDT,1m,BULL_ABSORPTION,LONG,46373.87,46377.81,46350.67,46359.99,BEAR,10.046,0.2,2.397,0.2386,46350.0,0,0,0,2,YES,NO
2021-12-31 23:23,BTCUSDT,1m,NONE,—,46361.98,46391.94,46358.33,46380.95,BULL,6.9657,0.139,0.9051,0.1299,46360.0,0,0,0,1,N/A,NO
2021-12-31 23:24,BTCUSDT,1m,NONE,—,46380.95,46397.59,46380.95,46397.59,BULL,11.3505,0.226,5.1441,0.4532,46380.0,0,0,0,1,N/A,NO
2021-12-31 23:25,BTCUSDT,1m,BULL_ABSORPTION,LONG,46397.59,46400.58,46376.98,46384.05,BEAR,9.928,0.198,-2.532,0.255,46375.0,0,0,0,1,YES,NO
2021-12-31 23:26,BTCUSDT,1m,NONE,—,46384.05,46432.51,46384.05,46418.4,BULL,13.621,0.272,4.083,0.2998,46385.0,0,0,0,1,N/A,NO
2021-12-31 23:27,BTCUSDT,1m,BULL_ABSORPTION,LONG,46418.39,46427.1,46405.95,46427.1,BULL,14.5648,0.29,7.4368,0.5106,46405.0,4,0,0,2,NO,NO
2021-12-31 23:28,BTCUSDT,1m,BULL_ABSORPTION,LONG,46427.1,46427.1,46406.58,46410.86,BEAR,5.2668,0.105,-0.4292,0.0815,46405.0,0,0,0,1,NO,NO
